3,1,960,7314,5,6,960,0,205000
4,1.75,2090,4300,4,7,1250,840,494000
4,3,3120,157875,4,8,3120,0,790000
2,1.5,1070,1236,3,8,1000,70,401750
4,1,1540,8400,3,7,770,770,278500
2,1,1300,39639,4,6,1300,0,295000
4,2.75,3320,8653,3,8,3320,0,679990
3,1,1320,9000,3,7,1320,0,196500
3,1,1350,7553,3,6,1350,0,280000
3,2.5,2750,37096,3,9,2750,0,375000
3,1.75,1790,6775,3,8,1790,0,485000
3,2.25,1960,6500,4,8,1960,0,450000
3,1,800,2296,4,6,800,0,370000
3,2,1460,6250,4,7,1460,0,705000
2,1,1430,7819,3,7,1110,320,380950
5,2,2600,3750,4,6,1400,1200,580000
4,3,2940,5763,5,8,1640,1300,640000
3,1,1520,8600,3,6,1040,480,210000
4,1.75,1250,7400,5,6,1250,0,445000
2,1,770,8149,3,6,770,0,220000
3,2.5,1960,3540,3,8,1960,0,342000
3,2.5,2090,12027,3,8,2090,0,327500
3,1,980,7000,3,6,980,0,330000
3,1,1010,10215,3,6,1010,0,180000
4,2.5,2620,6114,3,9,2620,0,675000
4,2.5,1930,8040,3,7,1380,550,513000
5,2.5,2990,9240,3,8,2990,0,357000
3,2.5,1330,2180,3,8,1330,0,539950
3,1.5,1630,82764,4,6,1630,0,300000
3,1.75,1070,9000,4,7,1070,0,361500
2,1.75,1400,865,3,8,1110,290,358500
3,2.5,1660,1091,3,9,1530,130,729500
4,2.5,3220,14463,3,8,3220,0,630000
3,1.75,2330,12141,3,7,1390,940,535000
5,2,2280,5750,4,8,1140,1140,383000
3,2.25,2000,8030,4,8,1000,1000,420000
4,1.5,2180,22870,4,6,1280,900,273000
3,2.75,2250,9600,4,9,1830,420,765000
3,1.75,1170,8182,3,7,1170,0,352500
4,2.75,3500,7200,3,9,3500,0,788600
3,2.25,1960,1585,3,7,1750,210,300000
1,1.5,1900,40600,5,9,1450,450,550000
3,2.25,1640,1204,3,8,1640,0,772000
4,2.5,4040,25752,3,10,4040,0,765000
3,2.75,2200,3885,3,8,2200,0,572000
3,2.25,1980,8775,3,7,1290,690,437000
